Type:Windows.ApplicationModel:DesignMode
Property:Windows.ApplicationModel.Activation:CachedFileUpdaterActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs
Property:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs:VideoDeviceController:Object:{get;}
Property:Windows.ApplicationModel.Activation:CameraSettingsActivatedEventArgs:VideoDeviceExtension:Object:{get;}
Type:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:ServiceUserId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ContactCallActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:Address:ContactAddress:{get;}
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ContactMapActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:ServiceUserId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ContactMessageActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:ContactPickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactPickerActivatedEventArgs:ContactPickerUI:ContactPickerUI:{get;}
Property:Windows.ApplicationModel.Activation:ContactPickerActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactPickerActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactPickerActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:ServiceUserId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ContactPostActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:Contact:Contact:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:ServiceId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:ServiceUserId:String:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:ContactVideoCallActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:DeviceInformationId:String:{get;}
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:DeviceActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:FileActivatedEventArgs
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:Files:IReadOnlyList<IStorageItem>:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:NeighboringFilesQuery:StorageFileQueryResult:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Property:Windows.ApplicationModel.Activation:FileActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:FileOpenPickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:FileOpenPickerActivatedEventArgs:FileOpenPickerUI:FileOpenPickerUI:{get;}
Property:Windows.ApplicationModel.Activation:FileOpenPickerActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:FileOpenPickerActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:FileOpenPickerActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:FileSavePickerActivatedEventArgs
Property:Windows.ApplicationModel.Activation:FileSavePickerActivatedEventArgs:FileSavePickerUI:FileSavePickerUI:{get;}
Property:Windows.ApplicationModel.Activation:FileSavePickerActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:FileSavePickerActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:FileSavePickerActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:IActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IActivatedEventArgs:Kind:ActivationKind:{get;}
Property:Windows.ApplicationModel.Activation:IActivatedEventArgs:PreviousExecutionState:ApplicationExecutionState:{get;}
Property:Windows.ApplicationModel.Activation:IActivatedEventArgs:SplashScreen:SplashScreen:{get;}
Type:Windows.ApplicationModel.Activation:IApplicationViewActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IApplicationViewActivatedEventArgs:CurrentlyShownApplicationViewId:Int32:{get;}
Type:Windows.ApplicationModel.Activation:IAppointmentsProviderActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderActivatedEventArgs:Verb:String:{get;}
Type:Windows.ApplicationModel.Activation:IAppointmentsProviderAddAppointmentActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderAddAppointmentActivatedEventArgs:AddAppointmentOperation:AddAppointmentOperation:{get;}
Type:Windows.ApplicationModel.Activation:IAppointmentsProviderRemoveAppointmentActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderRemoveAppointmentActivatedEventArgs:RemoveAppointmentOperation:RemoveAppointmentOperation:{get;}
Type:Windows.ApplicationModel.Activation:IAppointmentsProviderReplaceAppointmentActivatedEventArgs
Property:Windows.ApplicationModel.Activation:IAppointmentsProviderReplaceAppointmentActivatedEventArgs:ReplaceAppointmentOperation:ReplaceAppointmentOperation:{get;}
