Type:Windows.ApplicationModel:DesignMode
Type:Windows.Storage:KnownFolders
Property:Windows.Storage:KnownFolders:CameraRoll:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:DocumentsLibrary:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:HomeGroup:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:MediaServerDevices:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:MusicLibrary:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:PicturesLibrary:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:Playlists:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:RemovableDevices:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:SavedPictures:StorageFolder:{get;}
Property:Windows.Storage:KnownFolders:VideosLibrary:StorageFolder:{get;}
Type:Windows.Storage:KnownLibraryId
Field:Windows.Storage:KnownLibraryId:Documents:KnownLibraryId
Field:Windows.Storage:KnownLibraryId:Music:KnownLibraryId
Field:Windows.Storage:KnownLibraryId:Pictures:KnownLibraryId
Field:Windows.Storage:KnownLibraryId:Videos:KnownLibraryId
Type:Windows.Storage:NameCollisionOption
Field:Windows.Storage:NameCollisionOption:FailIfExists:NameCollisionOption
Field:Windows.Storage:NameCollisionOption:GenerateUniqueName:NameCollisionOption
Field:Windows.Storage:NameCollisionOption:ReplaceExisting:NameCollisionOption
Type:Windows.Storage:PathIO
Method:Windows.Storage:PathIO:AppendLinesAsync:IAsyncAction:(PathIO absolutePath|PathIO lines)
Method:Windows.Storage:PathIO:AppendLinesAsync:IAsyncAction:(PathIO absolutePath|PathIO lines|PathIO encoding)
Method:Windows.Storage:PathIO:AppendTextAsync:IAsyncAction:(PathIO absolutePath|PathIO contents)
Method:Windows.Storage:PathIO:AppendTextAsync:IAsyncAction:(PathIO absolutePath|PathIO contents|PathIO encoding)
Method:Windows.Storage:PathIO:ReadBufferAsync:IAsyncOperation<IBuffer>:(PathIO absolutePath)
Method:Windows.Storage:PathIO:ReadLinesAsync:IAsyncOperation<IList<String>>:(PathIO absolutePath)
Method:Windows.Storage:PathIO:ReadLinesAsync:IAsyncOperation<IList<String>>:(PathIO absolutePath|PathIO encoding)
Method:Windows.Storage:PathIO:ReadTextAsync:IAsyncOperation<String>:(PathIO absolutePath)
Method:Windows.Storage:PathIO:ReadTextAsync:IAsyncOperation<String>:(PathIO absolutePath|PathIO encoding)
Method:Windows.Storage:PathIO:WriteBufferAsync:IAsyncAction:(PathIO absolutePath|PathIO buffer)
Method:Windows.Storage:PathIO:WriteBytesAsync:IAsyncAction:(PathIO absolutePath|PathIO buffer)
Method:Windows.Storage:PathIO:WriteLinesAsync:IAsyncAction:(PathIO absolutePath|PathIO lines)
Method:Windows.Storage:PathIO:WriteLinesAsync:IAsyncAction:(PathIO absolutePath|PathIO lines|PathIO encoding)
Method:Windows.Storage:PathIO:WriteTextAsync:IAsyncAction:(PathIO absolutePath|PathIO contents)
Method:Windows.Storage:PathIO:WriteTextAsync:IAsyncAction:(PathIO absolutePath|PathIO contents|PathIO encoding)
Type:Windows.Storage:SetVersionDeferral
Method:Windows.Storage:SetVersionDeferral:Complete:Void:()
Type:Windows.Storage:SetVersionRequest
Property:Windows.Storage:SetVersionRequest:CurrentVersion:UInt32:{get;}
Property:Windows.Storage:SetVersionRequest:DesiredVersion:UInt32:{get;}
Method:Windows.Storage:SetVersionRequest:GetDeferral:SetVersionDeferral:()
Type:Windows.Storage:StorageDeleteOption
Field:Windows.Storage:StorageDeleteOption:Default:StorageDeleteOption
Field:Windows.Storage:StorageDeleteOption:PermanentDelete:StorageDeleteOption
Type:Windows.Storage:StorageFile
Property:Windows.Storage:StorageFile:Attributes:FileAttributes:{get;}
Property:Windows.Storage:StorageFile:ContentType:String:{get;}
Method:Windows.Storage:StorageFile:CopyAndReplaceAsync:IAsyncAction:(StorageFile fileToReplace)
Method:Windows.Storage:StorageFile:CopyAsync:IAsyncOperation<StorageFile>:(StorageFile destinationFolder)
Method:Windows.Storage:StorageFile:CopyAsync:IAsyncOperation<StorageFile>:(StorageFile destinationFolder|StorageFile desiredNewName)
Method:Windows.Storage:StorageFile:CopyAsync:IAsyncOperation<StorageFile>:(StorageFile destinationFolder|StorageFile desiredNewName|StorageFile option)
Method:Windows.Storage:StorageFile:CreateStreamedFileAsync:IAsyncOperation<StorageFile>:(StorageFile displayNameWithExtension|StorageFile dataRequested|StorageFile thumbnail)
Method:Windows.Storage:StorageFile:CreateStreamedFileFromUriAsync:IAsyncOperation<StorageFile>:(StorageFile displayNameWithExtension|StorageFile uri|StorageFile thumbnail)
Property:Windows.Storage:StorageFile:DateCreated:DateTimeOffset:{get;}
Method:Windows.Storage:StorageFile:DeleteAsync:IAsyncAction:()
Method:Windows.Storage:StorageFile:DeleteAsync:IAsyncAction:(StorageFile option)
Property:Windows.Storage:StorageFile:DisplayName:String:{get;}
Property:Windows.Storage:StorageFile:DisplayType:String:{get;}
Property:Windows.Storage:StorageFile:FileType:String:{get;}
Property:Windows.Storage:StorageFile:FolderRelativeId:String:{get;}
Method:Windows.Storage:StorageFile:GetBasicPropertiesAsync:IAsyncOperation<BasicProperties>:()
Method:Windows.Storage:StorageFile:GetFileFromApplicationUriAsync:IAsyncOperation<StorageFile>:(StorageFile uri)
Method:Windows.Storage:StorageFile:GetFileFromPathAsync:IAsyncOperation<StorageFile>:(StorageFile path)
Method:Windows.Storage:StorageFile:GetParentAsync:IAsyncOperation<StorageFolder>:()
Method:Windows.Storage:StorageFile:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode)
Method:Windows.Storage:StorageFile:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode|StorageFile requestedSize)
Method:Windows.Storage:StorageFile:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode|StorageFile requestedSize|StorageFile options)
Method:Windows.Storage:StorageFile:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode)
Method:Windows.Storage:StorageFile:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode|StorageFile requestedSize)
Method:Windows.Storage:StorageFile:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFile mode|StorageFile requestedSize|StorageFile options)
Property:Windows.Storage:StorageFile:IsAvailable:Boolean:{get;}
Method:Windows.Storage:StorageFile:IsEqual:Boolean:(StorageFile item)
Method:Windows.Storage:StorageFile:IsOfType:Boolean:(StorageFile type)
Method:Windows.Storage:StorageFile:MoveAndReplaceAsync:IAsyncAction:(StorageFile fileToReplace)
Method:Windows.Storage:StorageFile:MoveAsync:IAsyncAction:(StorageFile destinationFolder)
Method:Windows.Storage:StorageFile:MoveAsync:IAsyncAction:(StorageFile destinationFolder|StorageFile desiredNewName)
Method:Windows.Storage:StorageFile:MoveAsync:IAsyncAction:(StorageFile destinationFolder|StorageFile desiredNewName|StorageFile option)
Property:Windows.Storage:StorageFile:Name:String:{get;}
Method:Windows.Storage:StorageFile:OpenAsync:IAsyncOperation<IRandomAccessStream>:(StorageFile accessMode)
Method:Windows.Storage:StorageFile:OpenReadAsync:IAsyncOperation<IRandomAccessStreamWithContentType>:()
Method:Windows.Storage:StorageFile:OpenSequentialReadAsync:IAsyncOperation<IInputStream>:()
Method:Windows.Storage:StorageFile:OpenTransactedWriteAsync:IAsyncOperation<StorageStreamTransaction>:()
Property:Windows.Storage:StorageFile:Path:String:{get;}
Property:Windows.Storage:StorageFile:Properties:StorageItemContentProperties:{get;}
Property:Windows.Storage:StorageFile:Provider:StorageProvider:{get;}
Method:Windows.Storage:StorageFile:RenameAsync:IAsyncAction:(StorageFile desiredName)
Method:Windows.Storage:StorageFile:RenameAsync:IAsyncAction:(StorageFile desiredName|StorageFile option)
Method:Windows.Storage:StorageFile:ReplaceWithStreamedFileAsync:IAsyncOperation<StorageFile>:(StorageFile fileToReplace|StorageFile dataRequested|StorageFile thumbnail)
Method:Windows.Storage:StorageFile:ReplaceWithStreamedFileFromUriAsync:IAsyncOperation<StorageFile>:(StorageFile fileToReplace|StorageFile uri|StorageFile thumbnail)
Type:Windows.Storage:StorageFolder
Method:Windows.Storage:StorageFolder:AreQueryOptionsSupported:Boolean:(StorageFolder queryOptions)
Property:Windows.Storage:StorageFolder:Attributes:FileAttributes:{get;}
Method:Windows.Storage:StorageFolder:CreateFileAsync:IAsyncOperation<StorageFile>:(StorageFolder desiredName)
Method:Windows.Storage:StorageFolder:CreateFileAsync:IAsyncOperation<StorageFile>:(StorageFolder desiredName|StorageFolder options)
Method:Windows.Storage:StorageFolder:CreateFileQuery:StorageFileQueryResult:()
Method:Windows.Storage:StorageFolder:CreateFileQuery:StorageFileQueryResult:(StorageFolder query)
Method:Windows.Storage:StorageFolder:CreateFileQueryWithOptions:StorageFileQueryResult:(StorageFolder queryOptions)
Method:Windows.Storage:StorageFolder:CreateFolderAsync:IAsyncOperation<StorageFolder>:(StorageFolder desiredName)
Method:Windows.Storage:StorageFolder:CreateFolderAsync:IAsyncOperation<StorageFolder>:(StorageFolder desiredName|StorageFolder options)
Method:Windows.Storage:StorageFolder:CreateFolderQuery:StorageFolderQueryResult:()
Method:Windows.Storage:StorageFolder:CreateFolderQuery:StorageFolderQueryResult:(StorageFolder query)
Method:Windows.Storage:StorageFolder:CreateFolderQueryWithOptions:StorageFolderQueryResult:(StorageFolder queryOptions)
Method:Windows.Storage:StorageFolder:CreateItemQuery:StorageItemQueryResult:()
Method:Windows.Storage:StorageFolder:CreateItemQueryWithOptions:StorageItemQueryResult:(StorageFolder queryOptions)
Property:Windows.Storage:StorageFolder:DateCreated:DateTimeOffset:{get;}
Method:Windows.Storage:StorageFolder:DeleteAsync:IAsyncAction:()
Method:Windows.Storage:StorageFolder:DeleteAsync:IAsyncAction:(StorageFolder option)
Property:Windows.Storage:StorageFolder:DisplayName:String:{get;}
Property:Windows.Storage:StorageFolder:DisplayType:String:{get;}
Property:Windows.Storage:StorageFolder:FolderRelativeId:String:{get;}
Method:Windows.Storage:StorageFolder:GetBasicPropertiesAsync:IAsyncOperation<BasicProperties>:()
Method:Windows.Storage:StorageFolder:GetFileAsync:IAsyncOperation<StorageFile>:(StorageFolder name)
Method:Windows.Storage:StorageFolder:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:()
Method:Windows.Storage:StorageFolder:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:(StorageFolder query|StorageFolder startIndex|StorageFolder maxItemsToRetrieve)
Method:Windows.Storage:StorageFolder:GetFilesAsync:IAsyncOperation<IReadOnlyList<StorageFile>>:(StorageFolder query)
Method:Windows.Storage:StorageFolder:GetFolderAsync:IAsyncOperation<StorageFolder>:(StorageFolder name)
Method:Windows.Storage:StorageFolder:GetFolderFromPathAsync:IAsyncOperation<StorageFolder>:(StorageFolder path)
Method:Windows.Storage:StorageFolder:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:()
Method:Windows.Storage:StorageFolder:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:(StorageFolder query|StorageFolder startIndex|StorageFolder maxItemsToRetrieve)
Method:Windows.Storage:StorageFolder:GetFoldersAsync:IAsyncOperation<IReadOnlyList<StorageFolder>>:(StorageFolder query)
Method:Windows.Storage:StorageFolder:GetIndexedStateAsync:IAsyncOperation<IndexedState>:()
Method:Windows.Storage:StorageFolder:GetItemAsync:IAsyncOperation<IStorageItem>:(StorageFolder name)
Method:Windows.Storage:StorageFolder:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItem>>:()
Method:Windows.Storage:StorageFolder:GetItemsAsync:IAsyncOperation<IReadOnlyList<IStorageItem>>:(StorageFolder startIndex|StorageFolder maxItemsToRetrieve)
Method:Windows.Storage:StorageFolder:GetParentAsync:IAsyncOperation<StorageFolder>:()
Method:Windows.Storage:StorageFolder:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode)
Method:Windows.Storage:StorageFolder:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode|StorageFolder requestedSize)
Method:Windows.Storage:StorageFolder:GetScaledImageAsThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode|StorageFolder requestedSize|StorageFolder options)
Method:Windows.Storage:StorageFolder:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode)
Method:Windows.Storage:StorageFolder:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode|StorageFolder requestedSize)
Method:Windows.Storage:StorageFolder:GetThumbnailAsync:IAsyncOperation<StorageItemThumbnail>:(StorageFolder mode|StorageFolder requestedSize|StorageFolder options)
Method:Windows.Storage:StorageFolder:IsCommonFileQuerySupported:Boolean:(StorageFolder query)
Method:Windows.Storage:StorageFolder:IsCommonFolderQuerySupported:Boolean:(StorageFolder query)
Method:Windows.Storage:StorageFolder:IsEqual:Boolean:(StorageFolder item)
Method:Windows.Storage:StorageFolder:IsOfType:Boolean:(StorageFolder type)
Property:Windows.Storage:StorageFolder:Name:String:{get;}
Property:Windows.Storage:StorageFolder:Path:String:{get;}
Property:Windows.Storage:StorageFolder:Properties:StorageItemContentProperties:{get;}
Property:Windows.Storage:StorageFolder:Provider:StorageProvider:{get;}
Method:Windows.Storage:StorageFolder:RenameAsync:IAsyncAction:(StorageFolder desiredName)
Method:Windows.Storage:StorageFolder:RenameAsync:IAsyncAction:(StorageFolder desiredName|StorageFolder option)
Method:Windows.Storage:StorageFolder:TryGetItemAsync:IAsyncOperation<IStorageItem>:(StorageFolder name)
Type:Windows.Storage:StorageItemTypes
Field:Windows.Storage:StorageItemTypes:File:StorageItemTypes
Field:Windows.Storage:StorageItemTypes:Folder:StorageItemTypes
Field:Windows.Storage:StorageItemTypes:None:StorageItemTypes
Type:Windows.Storage:StorageLibrary
Event:Windows.Storage:StorageLibrary:DefinitionChanged:TypedEventHandler<StorageLibrary,Object>
Property:Windows.Storage:StorageLibrary:Folders:IObservableVector<StorageFolder>:{get;}
Method:Windows.Storage:StorageLibrary:GetLibraryAsync:IAsyncOperation<StorageLibrary>:(StorageLibrary libraryId)
Method:Windows.Storage:StorageLibrary:RequestAddFolderAsync:IAsyncOperation<StorageFolder>:()
Method:Windows.Storage:StorageLibrary:RequestRemoveFolderAsync:IAsyncOperation<Boolean>:(StorageLibrary folder)
Property:Windows.Storage:StorageLibrary:SaveFolder:StorageFolder:{get;}
Type:Windows.Storage:StorageProvider
Property:Windows.Storage:StorageProvider:DisplayName:String:{get;}
Property:Windows.Storage:StorageProvider:Id:String:{get;}
Type:Windows.Storage:StorageStreamTransaction
Method:Windows.Storage:StorageStreamTransaction:CommitAsync:IAsyncAction:()
Method:Windows.Storage:StorageStreamTransaction:Dispose:Void:()
Property:Windows.Storage:StorageStreamTransaction:Stream:IRandomAccessStream:{get;}
Type:Windows.Storage:StreamedFileDataRequest
Method:Windows.Storage:StreamedFileDataRequest:Dispose:Void:()
Method:Windows.Storage:StreamedFileDataRequest:FailAndClose:Void:(StreamedFileDataRequest failureMode)
Method:Windows.Storage:StreamedFileDataRequest:FlushAsync:IAsyncOperation<Boolean>:()
Method:Windows.Storage:StreamedFileDataRequest:WriteAsync:IAsyncOperationWithProgress<UInt32,UInt32>:(StreamedFileDataRequest buffer)
Type:Windows.Storage:StreamedFileDataRequestedHandler
Constructor:Windows.Storage:StreamedFileDataRequestedHandler:.ctor:StreamedFileDataRequestedHandler:(StreamedFileDataRequestedHandler object|StreamedFileDataRequestedHandler method)
Type:Windows.Storage:StreamedFileFailureMode
Field:Windows.Storage:StreamedFileFailureMode:CurrentlyUnavailable:StreamedFileFailureMode
Field:Windows.Storage:StreamedFileFailureMode:Failed:StreamedFileFailureMode
Field:Windows.Storage:StreamedFileFailureMode:Incomplete:StreamedFileFailureMode
Type:Windows.Storage:SystemAudioProperties
Property:Windows.Storage:SystemAudioProperties:EncodingBitrate:String:{get;}
Type:Windows.Storage:SystemGPSProperties
Property:Windows.Storage:SystemGPSProperties:LatitudeDecimal:String:{get;}
Property:Windows.Storage:SystemGPSProperties:LongitudeDecimal:String:{get;}
Type:Windows.Storage:SystemImageProperties
Property:Windows.Storage:SystemImageProperties:HorizontalSize:String:{get;}
Property:Windows.Storage:SystemImageProperties:VerticalSize:String:{get;}
Type:Windows.Storage:SystemMediaProperties
Property:Windows.Storage:SystemMediaProperties:Duration:String:{get;}
Property:Windows.Storage:SystemMediaProperties:Producer:String:{get;}
Property:Windows.Storage:SystemMediaProperties:Publisher:String:{get;}
Property:Windows.Storage:SystemMediaProperties:SubTitle:String:{get;}
Property:Windows.Storage:SystemMediaProperties:Writer:String:{get;}
Property:Windows.Storage:SystemMediaProperties:Year:String:{get;}
Type:Windows.Storage:SystemMusicProperties
Property:Windows.Storage:SystemMusicProperties:AlbumArtist:String:{get;}
Property:Windows.Storage:SystemMusicProperties:AlbumTitle:String:{get;}
Property:Windows.Storage:SystemMusicProperties:Artist:String:{get;}
Property:Windows.Storage:SystemMusicProperties:Composer:String:{get;}
Property:Windows.Storage:SystemMusicProperties:Conductor:String:{get;}
Property:Windows.Storage:SystemMusicProperties:DisplayArtist:String:{get;}
Property:Windows.Storage:SystemMusicProperties:Genre:String:{get;}
Property:Windows.Storage:SystemMusicProperties:TrackNumber:String:{get;}
Type:Windows.Storage:SystemPhotoProperties
Property:Windows.Storage:SystemPhotoProperties:CameraManufacturer:String:{get;}
Property:Windows.Storage:SystemPhotoProperties:CameraModel:String:{get;}
Property:Windows.Storage:SystemPhotoProperties:DateTaken:String:{get;}
Property:Windows.Storage:SystemPhotoProperties:Orientation:String:{get;}
Property:Windows.Storage:SystemPhotoProperties:PeopleNames:String:{get;}
Type:Windows.Storage:SystemProperties
Property:Windows.Storage:SystemProperties:Audio:SystemAudioProperties:{get;}
Property:Windows.Storage:SystemProperties:Author:String:{get;}
Property:Windows.Storage:SystemProperties:Comment:String:{get;}
Property:Windows.Storage:SystemProperties:GPS:SystemGPSProperties:{get;}
Property:Windows.Storage:SystemProperties:Image:SystemImageProperties:{get;}
Property:Windows.Storage:SystemProperties:ItemNameDisplay:String:{get;}
Property:Windows.Storage:SystemProperties:Keywords:String:{get;}
Property:Windows.Storage:SystemProperties:Media:SystemMediaProperties:{get;}
Property:Windows.Storage:SystemProperties:Music:SystemMusicProperties:{get;}
Property:Windows.Storage:SystemProperties:Photo:SystemPhotoProperties:{get;}
Property:Windows.Storage:SystemProperties:Rating:String:{get;}
Property:Windows.Storage:SystemProperties:Title:String:{get;}
Property:Windows.Storage:SystemProperties:Video:SystemVideoProperties:{get;}
Type:Windows.Storage:SystemVideoProperties
Property:Windows.Storage:SystemVideoProperties:Director:String:{get;}
Property:Windows.Storage:SystemVideoProperties:FrameHeight:String:{get;}
Property:Windows.Storage:SystemVideoProperties:FrameWidth:String:{get;}
Property:Windows.Storage:SystemVideoProperties:Orientation:String:{get;}
Property:Windows.Storage:SystemVideoProperties:TotalBitrate:String:{get;}
Type:Windows.Storage.AccessCache:AccessCacheOptions
Field:Windows.Storage.AccessCache:AccessCacheOptions:DisallowUserInput:AccessCacheOptions
Field:Windows.Storage.AccessCache:AccessCacheOptions:FastLocationsOnly:AccessCacheOptions
Field:Windows.Storage.AccessCache:AccessCacheOptions:None:AccessCacheOptions
Field:Windows.Storage.AccessCache:AccessCacheOptions:SuppressAccessTimeUpdate:AccessCacheOptions
Field:Windows.Storage.AccessCache:AccessCacheOptions:UseReadOnlyCachedCopy:AccessCacheOptions
Type:Windows.Storage.AccessCache:AccessListEntry
Field:Windows.Storage.AccessCache:AccessListEntry:Metadata:String
Field:Windows.Storage.AccessCache:AccessListEntry:Token:String
Type:Windows.Storage.AccessCache:AccessListEntryView
Type:Windows.Storage.AccessCache:IStorageItemAccessList
Method:Windows.Storage.AccessCache:IStorageItemAccessList:Add:String:(IStorageItemAccessList file)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:Add:String:(IStorageItemAccessList file|IStorageItemAccessList metadata)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:AddOrReplace:Void:(IStorageItemAccessList token|IStorageItemAccessList file)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:AddOrReplace:Void:(IStorageItemAccessList token|IStorageItemAccessList file|IStorageItemAccessList metadata)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:CheckAccess:Boolean:(IStorageItemAccessList file)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:Clear:Void:()
Method:Windows.Storage.AccessCache:IStorageItemAccessList:ContainsItem:Boolean:(IStorageItemAccessList token)
Property:Windows.Storage.AccessCache:IStorageItemAccessList:Entries:AccessListEntryView:{get;}
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetFileAsync:IAsyncOperation<StorageFile>:(IStorageItemAccessList token)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetFileAsync:IAsyncOperation<StorageFile>:(IStorageItemAccessList token|IStorageItemAccessList options)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetFolderAsync:IAsyncOperation<StorageFolder>:(IStorageItemAccessList token)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetFolderAsync:IAsyncOperation<StorageFolder>:(IStorageItemAccessList token|IStorageItemAccessList options)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetItemAsync:IAsyncOperation<IStorageItem>:(IStorageItemAccessList token)
Method:Windows.Storage.AccessCache:IStorageItemAccessList:GetItemAsync:IAsyncOperation<IStorageItem>:(IStorageItemAccessList token|IStorageItemAccessList options)
Property:Windows.Storage.AccessCache:IStorageItemAccessList:MaximumItemsAllowed:UInt32:{get;}
Method:Windows.Storage.AccessCache:IStorageItemAccessList:Remove:Void:(IStorageItemAccessList token)
Type:Windows.Storage.AccessCache:ItemRemovedEventArgs
Property:Windows.Storage.AccessCache:ItemRemovedEventArgs:RemovedEntry:AccessListEntry:{get;}
Type:Windows.Storage.AccessCache:StorageApplicationPermissions
Property:Windows.Storage.AccessCache:StorageApplicationPermissions:FutureAccessList:StorageItemAccessList:{get;}
Property:Windows.Storage.AccessCache:StorageApplicationPermissions:MostRecentlyUsedList:StorageItemMostRecentlyUsedList:{get;}
Type:Windows.Storage.AccessCache:StorageItemAccessList
Method:Windows.Storage.AccessCache:StorageItemAccessList:Add:String:(StorageItemAccessList file)
Method:Windows.Storage.AccessCache:StorageItemAccessList:Add:String:(StorageItemAccessList file|StorageItemAccessList metadata)
Method:Windows.Storage.AccessCache:StorageItemAccessList:AddOrReplace:Void:(StorageItemAccessList token|StorageItemAccessList file)
Method:Windows.Storage.AccessCache:StorageItemAccessList:AddOrReplace:Void:(StorageItemAccessList token|StorageItemAccessList file|StorageItemAccessList metadata)
Method:Windows.Storage.AccessCache:StorageItemAccessList:CheckAccess:Boolean:(StorageItemAccessList file)
Method:Windows.Storage.AccessCache:StorageItemAccessList:Clear:Void:()
Method:Windows.Storage.AccessCache:StorageItemAccessList:ContainsItem:Boolean:(StorageItemAccessList token)
Property:Windows.Storage.AccessCache:StorageItemAccessList:Entries:AccessListEntryView:{get;}
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetFileAsync:IAsyncOperation<StorageFile>:(StorageItemAccessList token)
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetFileAsync:IAsyncOperation<StorageFile>:(StorageItemAccessList token|StorageItemAccessList options)
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetFolderAsync:IAsyncOperation<StorageFolder>:(StorageItemAccessList token)
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetFolderAsync:IAsyncOperation<StorageFolder>:(StorageItemAccessList token|StorageItemAccessList options)
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetItemAsync:IAsyncOperation<IStorageItem>:(StorageItemAccessList token)
Method:Windows.Storage.AccessCache:StorageItemAccessList:GetItemAsync:IAsyncOperation<IStorageItem>:(StorageItemAccessList token|StorageItemAccessList options)
Property:Windows.Storage.AccessCache:StorageItemAccessList:MaximumItemsAllowed:UInt32:{get;}
Method:Windows.Storage.AccessCache:StorageItemAccessList:Remove:Void:(StorageItemAccessList token)
Type:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:Add:String:(StorageItemMostRecentlyUsedList file)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:Add:String:(StorageItemMostRecentlyUsedList file|StorageItemMostRecentlyUsedList metadata)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:AddOrReplace:Void:(StorageItemMostRecentlyUsedList token|StorageItemMostRecentlyUsedList file)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:AddOrReplace:Void:(StorageItemMostRecentlyUsedList token|StorageItemMostRecentlyUsedList file|StorageItemMostRecentlyUsedList metadata)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:CheckAccess:Boolean:(StorageItemMostRecentlyUsedList file)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:Clear:Void:()
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:ContainsItem:Boolean:(StorageItemMostRecentlyUsedList token)
Property:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:Entries:AccessListEntryView:{get;}
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetFileAsync:IAsyncOperation<StorageFile>:(StorageItemMostRecentlyUsedList token)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetFileAsync:IAsyncOperation<StorageFile>:(StorageItemMostRecentlyUsedList token|StorageItemMostRecentlyUsedList options)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetFolderAsync:IAsyncOperation<StorageFolder>:(StorageItemMostRecentlyUsedList token)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetFolderAsync:IAsyncOperation<StorageFolder>:(StorageItemMostRecentlyUsedList token|StorageItemMostRecentlyUsedList options)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetItemAsync:IAsyncOperation<IStorageItem>:(StorageItemMostRecentlyUsedList token)
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:GetItemAsync:IAsyncOperation<IStorageItem>:(StorageItemMostRecentlyUsedList token|StorageItemMostRecentlyUsedList options)
Event:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:ItemRemoved:TypedEventHandler<StorageItemMostRecentlyUsedList,ItemRemovedEventArgs>
Property:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:MaximumItemsAllowed:UInt32:{get;}
Method:Windows.Storage.AccessCache:StorageItemMostRecentlyUsedList:Remove:Void:(StorageItemMostRecentlyUsedList token)
Type:Windows.Storage.BulkAccess:FileInformation
Property:Windows.Storage.BulkAccess:FileInformation:Attributes:FileAttributes:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:BasicProperties:BasicProperties:{get;}
Property:Windows.Storage.BulkAccess:FileInformation:ContentType:String:{get;}
Method:Windows.Storage.BulkAccess:FileInformation:CopyAndReplaceAsync:IAsyncAction:(FileInformation fileToReplace)
Method:Windows.Storage.BulkAccess:FileInformation:CopyAsync:IAsyncOperation<StorageFile>:(FileInformation destinationFolder)
Method:Windows.Storage.BulkAccess:FileInformation:CopyAsync:IAsyncOperation<StorageFile>:(FileInformation destinationFolder|FileInformation desiredNewName)
Method:Windows.Storage.BulkAccess:FileInformation:CopyAsync:IAsyncOperation<StorageFile>:(FileInformation destinationFolder|FileInformation desiredNewName|FileInformation option)
